Latitude (WGS84),Longitude (WGS84),Arc length (m)
51.04653101594395,3.6925974272042907,0.0
51.04653101594395,3.6925974272042907,0.1
51.04653074613817,3.6925987900830997,0.2
51.04653047943996,3.692600154500339,0.3
51.04653021585281,3.692601520438176,0.4
51.04652995538017,3.6926028878787585,0.5
51.04652969802545,3.692604256804216,0.6
51.046529443792004,3.692605627196656,0.7
51.04652919268316,3.6926069990381736,0.8
51.046528944702175,3.692608372310834,0.9
51.04652869985233,3.6926097469966894,1.0
51.0465284581368,3.6926111230777767,1.1
51.046528219558745,3.6926125005361126,1.2
51.0465279841213,3.6926138793536882,1.3
51.04652775182751,3.6926152595124875,1.4
51.04652752268043,3.6926166409944745,1.5
51.046527296683074,3.692618023781591,1.6
51.046527073838355,3.6926194078557684,1.7
51.04652685414923,3.692620793198912,1.8
51.04652663761854,3.692622179792924,1.9
51.04652642424911,3.692623567619672,2.0
51.046526214043766,3.6926249566610316,2.1
51.046526007005205,3.692626346898838,2.2
51.04652580313617,3.6926277383149246,2.3
51.04652560243931,3.692629130891109,2.4
51.046525404917254,3.6926305246091875,2.5
51.04652521057257,3.6926319194509465,2.6
51.046525019407824,3.692633315398161,2.7
51.0465248314255,3.6926347124325796,2.8
51.04652464662804,3.6926361105359495,2.9
51.04652446501789,3.6926375096899946,3.0
51.04652428659739,3.6926389098764316,3.1
51.046524111368896,3.69264031107696,3.2
51.0465239393347,3.6926417132732685,3.3
51.04652377049702,3.692643116447028,3.4
51.0465236048581,3.692644520579898,3.5
51.046523442420096,3.6926459256535376,3.6
51.046523283185095,3.6926473316495723,3.7
51.046523127155226,3.692648738549636,3.8
51.04652297433251,3.692650146335334,3.9
51.046522824718934,3.6926515549882666,4.0
51.04652267831647,3.692652964490034,4.1
51.04652253512702,3.6926543748222063,4.2
51.046522395152465,3.6926557859663514,4.3
51.0465222583946,3.6926571979040306,4.4
51.04652212485527,3.692658610616792,4.5
51.046521994536185,3.6926600240861664,4.6
51.046521867439054,3.69266143829368,4.7
51.04652174356555,3.6926628532208583,4.8
51.04652162291726,3.6926642688492057,4.9
51.04652150549579,3.6926656851602186,5.0
51.04652139130266,3.692667102135384,5.1
51.04652128033938,3.6926685197561926,5.2
51.04652117260738,3.692669938004111,5.3
51.046521068108085,3.6926713568606004,5.4
51.04652096684284,3.6926727763071248,5.5
51.046520868812976,3.6926741963251253,5.6
51.0465207740198,3.692675616896052,5.7
51.04652068246451,3.692677038001333,5.8
51.04652059414833,3.692678459622394,5.9
51.04652050907241,3.6926798817406623,6.0
51.04652042723784,3.6926813043375413,6.1
51.04652034864572,3.692682727394451,6.2
51.04652027329707,3.6926841508927817,6.3
51.04652020119288,3.6926855748139387,6.4
51.04652013233405,3.692686999139305,6.5
51.046520066721534,3.6926884238502735,6.6
51.046520004356175,3.692689848928216,6.7
51.04651994523876,3.6926912743545133,6.8
51.04651988937009,3.692692700110529,6.9
51.04651983675088,3.692694126177637,7.0
51.04651978738184,3.6926955525371983,7.1
51.0465197412636,3.692696979170569,7.2
51.04651969839675,3.6926984060591055,7.3
51.04651965878186,3.6926998331841574,7.4
51.04651962241946,3.6927012605270755,7.5
51.04651958931003,3.692702688069204,7.6
51.046519559453984,3.692704115791887,7.7
51.0465195328517,3.6927055436764653,7.8
51.04651950950354,3.6927069717042738,7.9
51.04651948940983,3.6927083998566554,8.0
51.04651947257081,3.692709828114939,8.1
51.046519458986694,3.692711256460462,8.2
51.04651944865768,3.6927126848745586,8.3
51.04651944158388,3.692714113338554,8.4
51.04651943776542,3.6927155418337847,8.5
51.04651943720231,3.692716970341576,8.6
51.04651943989458,3.6927183988432652,8.7
51.04651944584221,3.6927198273201762,8.8
51.04651945504509,3.692721255753647,8.9
51.04651946750311,3.6927226841250027,9.0
51.04651948321612,3.692724112415576,9.1
51.046519502183905,3.6927255406067068,9.2
51.04651952440621,3.692726968679718,9.3
51.04651954988275,3.692728396615959,9.4
51.046519578613214,3.6927298243967575,9.5
51.046519610597194,3.692731252003456,9.6
51.04651964583427,3.6927326794173982,9.7
51.04651968432401,3.692734106619927,9.8
51.046519726065895,3.6927355335923924,9.9
51.04651977105939,3.6927369603161395,10.0
51.04651981930389,3.6927383867725307,10.1
51.046519870798775,3.6927398129429165,10.2
51.04651992554337,3.6927412388086607,10.3
51.04651998353696,3.692742664351126,10.4
51.046520044778774,3.6927440895516814,10.5
51.046520109268045,3.692745514391702,10.6
51.0465201770039,3.692746938852568,10.7
51.04652024798546,3.69274836291566,10.8
51.04652032221179,3.6927497865623655,10.9
51.04652039968197,3.692751209774082,11.0
51.04652048039491,3.692752632532205,11.1
51.046520564349606,3.6927540548181437,11.2
51.046520651544945,3.6927554766133066,11.3
51.04652074197978,3.692756897899112,11.4
51.04652083565295,3.6927583186569914,11.5
51.046520932563226,3.6927597388683684,11.6
51.04652103270932,3.6927611585146827,11.7
51.04652113608995,3.692762577577385,11.8
51.04652124270375,3.6927639960379226,11.9
51.04652135254935,3.692765413877767,12.0
51.04652146562525,3.6927668310783734,12.1
51.04652158193006,3.6927682476212387,12.2
51.0465217014622,3.6927696634878315,12.3
51.04652182422012,3.6927710786596597,12.4
51.04652195020222,3.6927724931182238,12.5
51.04652207940686,3.692773906845034,12.6
51.04652221183233,3.6927753198216196,12.7
51.04652234747694,3.692776732029514,12.8
51.04652248633888,3.692778143450257,12.9
51.04652262841635,3.6927795540654054,13.0
51.046522773707466,3.6927809638565163,13.1
51.04652292221038,3.692782372805176,13.2
51.046523073923105,3.692783780892961,13.3
51.0465232288437,3.692785188101479,13.4
51.0465233869701,3.692786594412323,13.5
51.046523548300264,3.69278799980713,13.6
51.046523712832055,3.6927894042675184,13.7
51.04652388056338,3.6927908077751415,13.8
51.046524051491986,3.6927922103116564,13.9
51.046524225615656,3.692793611858728,14.0
51.046524402932135,3.6927950123980433,14.1
51.046524583439094,3.692796411911296,14.2
51.046524767134166,3.6927978103801986,14.3
51.04652495401496,3.6927992077864706,14.4
51.04652514407903,3.6928006041118486,14.5
51.046525337323885,3.6928019993380836,14.6
51.04652553374701,3.692803393446945,14.7
51.04652573334584,3.692804786420209,14.8
51.04652593611775,3.6928061782396724,14.9
51.0465261420601,3.692807568887137,15.0
51.04652635117021,3.692808958344442,15.1
51.04652656344533,3.692810346593421,15.2
51.04652677888269,3.6928117336159287,15.3
51.046526997479475,3.6928131193938385,15.4
51.046527219232836,3.6928145039090383,15.5
51.046527444139855,3.6928158871434382,15.6
51.04652767219761,3.692817269078957,15.7
51.04652790340312,3.692818649697532,15.8
51.04652813775337,3.6928200289811257,15.9
51.046528375245266,3.692821406911704,16.0
51.04652861587574,3.6928227834712612,16.1
51.04652885964162,3.692824158641808,16.2
51.046529106539744,3.6928255324053754,16.3
51.046529356566865,3.692826904743999,16.4
51.04652960971972,3.692828275639755,16.5
51.04652986599502,3.692829645074716,16.6
51.046530125389374,3.6928310130309896,16.7
