Latitude (WGS84),Longitude (WGS84),Arc length (m)
50.99290229430143,5.2656720841620395,0.0
50.99290229430143,5.2656720841620395,0.1
50.99290256264789,5.265673445774032,0.2
50.99290283409913,5.2656748058399465,0.3
50.99290310865162,5.265676164342012,0.4
50.99290338630173,5.265677521262469,0.5
50.99290366704588,5.265678876583585,0.6
50.992903950880375,5.265680230287651,0.7
50.99290423780151,5.265681582356964,0.8
50.992904527805536,5.265682932773864,0.9
50.99290482088866,5.265684281520703,1.0
50.99290511704705,5.265685628579846,1.1
50.99290541627684,5.265686973933685,1.2
50.99290571857413,5.265688317564649,1.3
50.99290602393493,5.265689659455172,1.4
50.992906332355304,5.265690999587714,1.5
50.992906643831176,5.265692337944765,1.6
50.99290695835851,5.265693674508828,1.7
50.992907275933156,5.26569500926244,1.8
50.99290759655101,5.26569634218815,1.9
50.99290792020784,5.265697673268546,2.0
50.99290824689944,5.265699002486227,2.1
50.99290857662154,5.2657003298238205,2.2
50.992908909369795,5.265701655263983,2.3
50.99290924513992,5.2657029787893865,2.4
50.99290958392749,5.265704300382739,2.5
50.992909925728064,5.265705620026763,2.6
50.9929102705372,5.265706937704213,2.7
50.99291061835038,5.265708253397867,2.8
50.99291096916306,5.265709567090534,2.9
50.99291132297066,5.265710878765043,3.0
50.992911679768554,5.26571218840425,3.1
50.99291203955207,5.265713495991033,3.2
50.992912402316506,5.265714801508315,3.3
50.99291276805713,5.2657161049390275,3.4
50.99291313676916,5.265717406266134,3.5
50.99291350844779,5.2657187054726275,3.6
50.992913883088136,5.2657200025415305,3.7
50.99291426068532,5.265721297455893,3.8
50.99291464123439,5.265722590198783,3.9
50.99291502473039,5.265723880753314,4.0
50.992915411168305,5.2657251691026135,4.1
50.99291580054309,5.265726455229844,4.2
50.992916192849634,5.265727739118204,4.3
50.99291658808282,5.265729020750906,4.4
50.99291698623752,5.265730300111199,4.5
50.99291738730846,5.265731577182367,4.6
50.992917791290445,5.26573285194772,4.7
50.992918198178174,5.265734124390595,4.8
50.99291860796636,5.265735394494359,4.9
50.992919020649616,5.265736662242419,5.0
50.99291943622257,5.265737927618206,5.1
50.992919854679776,5.265739190605179,5.2
50.992920276015774,5.265740451186827,5.3
50.992920700225035,5.265741709346683,5.4
50.99292112730205,5.265742965068304,5.5
50.99292155724122,5.265744218335275,5.6
50.992921990036926,5.265745469131215,5.7
50.992922425683496,5.265746717439778,5.8
50.99292286417527,5.265747963244651,5.9
50.992923305506494,5.2657492065295495,6.0
50.99292374967141,5.265750447278232,6.1
50.99292419666422,5.2657516854744735,6.2
50.99292464647904,5.265752921102096,6.3
50.99292509911003,5.265754154144948,6.4
50.99292555455129,5.265755384586916,6.5
50.99292601279682,5.265756612411917,6.6
50.99292647384067,5.2657578376039105,6.7
50.99292693767679,5.265759060146877,6.8
50.99292740429913,5.2657602800248435,6.9
50.992927873701596,5.2657614972218605,7.0
50.992928345878035,5.265762711722024,7.1
50.99292882082229,5.265763923509465,7.2
50.99292929852818,5.265765132568338,7.3
50.99292977898941,5.26576633888285,7.4
50.99293026219971,5.265767542437227,7.5
50.99293074815279,5.265768743215743,7.6
50.99293123684229,5.265769941202705,7.7
50.99293172826182,5.265771136382456,7.8
50.992932222404946,5.265772328739376,7.9
50.99293271926525,5.26577351825788,8.0
50.99293321883618,5.265774704922422,8.1
50.99293372111126,5.265775888717494,8.2
50.99293422608388,5.2657770696276245,8.3
50.99293473374747,5.265778247637379,8.4
